"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","CPI","TOT","IDX2010","A","1975",42.81381,
"DEU","CPI","TOT","IDX2010","A","1976",44.63196,
"DEU","CPI","TOT","IDX2010","A","1977",46.29859,
"DEU","CPI","TOT","IDX2010","A","1978",47.5573,
"DEU","CPI","TOT","IDX2010","A","1979",49.48034,
"DEU","CPI","TOT","IDX2010","A","1980",52.1726,
"DEU","CPI","TOT","IDX2010","A","1981",55.48255,
"DEU","CPI","TOT","IDX2010","A","1982",58.39042,
"DEU","CPI","TOT","IDX2010","A","1983",60.31346,
"DEU","CPI","TOT","IDX2010","A","1984",61.76448,
"DEU","CPI","TOT","IDX2010","A","1985",63.04067,
"DEU","CPI","TOT","IDX2010","A","1986",62.95909,
"DEU","CPI","TOT","IDX2010","A","1987",63.11643,
"DEU","CPI","TOT","IDX2010","A","1988",63.92061,
"DEU","CPI","TOT","IDX2010","A","1989",65.69796,
"DEU","CPI","TOT","IDX2010","A","1990",67.46949,
"DEU","CPI","TOT","IDX2010","A","1991",70.2,
"DEU","CPI","TOT","IDX2010","A","1992",73.75,
"DEU","CPI","TOT","IDX2010","A","1993",77.05,
"DEU","CPI","TOT","IDX2010","A","1994",79.125,
"DEU","CPI","TOT","IDX2010","A","1995",80.475,
"DEU","CPI","TOT","IDX2010","A","1996",81.64167,
"DEU","CPI","TOT","IDX2010","A","1997",83.225,
"DEU","CPI","TOT","IDX2010","A","1998",83.98333,
"DEU","CPI","TOT","IDX2010","A","1999",84.475,
"DEU","CPI","TOT","IDX2010","A","2000",85.69167,
"DEU","CPI","TOT","IDX2010","A","2001",87.39167,
"DEU","CPI","TOT","IDX2010","A","2002",88.63333,
"DEU","CPI","TOT","IDX2010","A","2003",89.55,
"DEU","CPI","TOT","IDX2010","A","2004",91.04166,
"DEU","CPI","TOT","IDX2010","A","2005",92.45,
"DEU","CPI","TOT","IDX2010","A","2006",93.90833,
"DEU","CPI","TOT","IDX2010","A","2007",96.06667,
"DEU","CPI","TOT","IDX2010","A","2008",98.59167,
"DEU","CPI","TOT","IDX2010","A","2009",98.9,
"DEU","CPI","TOT","IDX2010","A","2010",99.99167,
"DEU","CPI","TOT","IDX2010","A","2011",102.0667,
"DEU","CPI","TOT","IDX2010","A","2012",104.1167,
"DEU","CPI","TOT","IDX2010","A","2013",105.6833,
"DEU","CPI","TOT","IDX2010","A","2014",106.6417,
"OECD","CPI","TOT","IDX2010","A","1975",12.73246,
"OECD","CPI","TOT","IDX2010","A","1976",13.90632,
"OECD","CPI","TOT","IDX2010","A","1977",15.30849,
"OECD","CPI","TOT","IDX2010","A","1978",16.70568,
"OECD","CPI","TOT","IDX2010","A","1979",18.57954,
"OECD","CPI","TOT","IDX2010","A","1980",21.31513,
"OECD","CPI","TOT","IDX2010","A","1981",23.85429,
"OECD","CPI","TOT","IDX2010","A","1982",26.34278,
"OECD","CPI","TOT","IDX2010","A","1983",28.99177,
"OECD","CPI","TOT","IDX2010","A","1984",31.484,
"OECD","CPI","TOT","IDX2010","A","1985",33.81435,
"OECD","CPI","TOT","IDX2010","A","1986",35.9968,
"OECD","CPI","TOT","IDX2010","A","1987",39.08092,
"OECD","CPI","TOT","IDX2010","A","1988",42.71971,
"OECD","CPI","TOT","IDX2010","A","1989",45.40737,
"OECD","CPI","TOT","IDX2010","A","1990",48.56081,
"OECD","CPI","TOT","IDX2010","A","1991",51.74889,
"OECD","CPI","TOT","IDX2010","A","1992",54.47697,
"OECD","CPI","TOT","IDX2010","A","1993",56.99709,
"OECD","CPI","TOT","IDX2010","A","1994",59.67854,
"OECD","CPI","TOT","IDX2010","A","1995",63.21319,
"OECD","CPI","TOT","IDX2010","A","1996",66.72548,
"OECD","CPI","TOT","IDX2010","A","1997",69.85575,
"OECD","CPI","TOT","IDX2010","A","1998",72.72638,
"OECD","CPI","TOT","IDX2010","A","1999",75.30341,
"OECD","CPI","TOT","IDX2010","A","2000",78.28331,
"OECD","CPI","TOT","IDX2010","A","2001",81.09158,
"OECD","CPI","TOT","IDX2010","A","2002",83.29079,
"OECD","CPI","TOT","IDX2010","A","2003",85.30662,
"OECD","CPI","TOT","IDX2010","A","2004",87.315,
"OECD","CPI","TOT","IDX2010","A","2005",89.58385,
"OECD","CPI","TOT","IDX2010","A","2006",91.94235,
"OECD","CPI","TOT","IDX2010","A","2007",94.24009,
"OECD","CPI","TOT","IDX2010","A","2008",97.70574,
"OECD","CPI","TOT","IDX2010","A","2009",98.19885,
"OECD","CPI","TOT","IDX2010","A","2010",100,
"OECD","CPI","TOT","IDX2010","A","2011",102.8631,
"OECD","CPI","TOT","IDX2010","A","2012",105.1662,
"OECD","CPI","TOT","IDX2010","A","2013",106.8585,
"OECD","CPI","TOT","IDX2010","A","2014",108.7046,
